epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,6107.02,0.5923,0.33954,1.7755,0.91564,0.86962,0.91645,0.76678,1.75874,1.52923,2.68011,3.89445e-05,3.89445e-05,3.89445e-05
117,6159.12,0.60553,0.34322,1.77818,0.91088,0.86078,0.91249,0.76223,1.76501,1.63147,2.63037,3.81899e-05,3.81899e-05,3.81899e-05
118,6211.67,0.59484,0.33317,1.77522,0.90088,0.86751,0.9078,0.75296,1.72469,1.65897,2.61617,3.74383e-05,3.74383e-05,3.74383e-05
119,6263.99,0.58645,0.33699,1.77002,0.90506,0.86026,0.90688,0.75849,1.72727,1.60938,2.60459,3.66899e-05,3.66899e-05,3.66899e-05
120,6316.03,0.57669,0.33706,1.77313,0.91927,0.83468,0.90752,0.76457,1.72525,1.98744,2.59378,3.5945e-05,3.5945e-05,3.5945e-05
121,6368.41,0.58937,0.33803,1.77987,0.93322,0.82408,0.90644,0.75658,1.75124,1.98492,2.61895,3.52037e-05,3.52037e-05,3.52037e-05
122,6420.46,0.60141,0.34494,1.77323,0.93015,0.8378,0.91391,0.76542,1.7467,1.79209,2.63097,3.44661e-05,3.44661e-05,3.44661e-05
123,6472.53,0.58851,0.33827,1.77976,0.91607,0.85795,0.91437,0.76872,1.72936,1.70557,2.61569,3.37325e-05,3.37325e-05,3.37325e-05
124,6524.41,0.58094,0.33748,1.77104,0.90831,0.87138,0.91612,0.77245,1.72879,1.77002,2.59184,3.3003e-05,3.3003e-05,3.3003e-05
125,6576.77,0.5769,0.3289,1.77077,0.90233,0.85652,0.91048,0.76466,1.77385,1.72141,2.65236,3.22778e-05,3.22778e-05,3.22778e-05
126,6629.49,0.58892,0.3388,1.77654,0.91435,0.85247,0.91183,0.76409,1.77317,1.72098,2.64859,3.15572e-05,3.15572e-05,3.15572e-05
127,6682.05,0.57965,0.33243,1.76661,0.92153,0.83219,0.90405,0.75636,1.7588,1.7696,2.63111,3.08412e-05,3.08412e-05,3.08412e-05
